Image_name_Type,EncodedPixels
13923Date_06_08_2019.jpg_armature,18434 215 19138 215 19842 215 20546 215 21250 215 21954 215 22658 215 23362 215 24066 215 24770 215 25474 215 26178 215 26882 215 27586 215 28290 215 28994 215 29698 215 30402 215 31106 215 31810 215 32514 215 33218 215 33922 215 34626 215 35330 215 36034 215 36738 215 37442 215 38146 215 38850 215 39554 215 40258 215 40962 215 41666 215 42370 215 43074 215 43778 215 44482 215 45186 215 45890 215 46594 215 47298 215 48002 215 48706 215 49410 215 50114 215 50818 215 51522 215 52226 215 52930 215 53634 215 54338 215 55042 215 55746 215 56450 215 57154 215 57858 215 58562 215 59266 215 59970 215 60674 215 61378 215 62082 215 62786 215 63490 215 64194 215 64898 215 65602 215 66306 215 67010 215 67714 215 68418 215 69122 215 69826 215 70530 215 71234 215 71938 215 72642 215 73346 215 74050 215 74754 215 75458 215 76162 215 76866 215 77570 215 78274 215 78978 215 79682 215 80386 215 81090 215 81794 215 82498 215 83202 215 83906 215 84610 215 85314 215 86018 215 86722 215 87426 215 88130 215 88834 215 89538 215 90242 215 90946 215 91650 215 92354 215 93058 215 93762 215 94466 215 95170 215 95874 215 96578 215 97282 215 97986 215 98690 215 99394 215 100098 215 100802 215 101506 215 102210 215 102914 215 103618 215 104322 215 105026 215 105730 215 106434 215 107138 215 107842 215 108546 215 109250 215 109954 215 110658 215 111362 215 112066 215 112770 215 113474 215 114178 215 114882 215 115586 215 116290 215 116994 215 117698 215 118402 215 119106 215 119810 215 120514 215 121218 215 121922 215 122626 215 123330 215 124034 215 124738 215 125442 215 126146 215 126850 215 127554 215 128258 215 128962 215 129666 215 130370 215 131074 215 131778 215 132482 215 133186 215 133890 215 134594 215 135298 215 136002 215 136706 215 137410 215 138114 215 138818 215 139522 215 140226 215 140930 215 141634 215 142338 215 143042 215 143746 215 144450 215 145154 215 145858 215 146562 215 147266 215 147970 215 148674 215 149378 215 150082 215 150786 215 151490 215 152194 215 152898 215 153602 215 154306 215 155010 215 155714 215 156418 215 157122 215 157826 215 158530 215 159234 215 159938 215 160642 215 161346 215 162050 215 162754 215 163458 215 164162 215 164866 215 165570 215 166274 215 166978 215 167682 215 168386 215 169090 215 169794 215 170498 215 171202 215 171906 215 172610 215 173314 215 174018 215 174722 215 175426 215 176130 215 176834 215 177538 215 178242 215 178946 215 179650 215 180354 215 181058 215 181762 215 182466 215 183170 215 183874 215 184578 215 185282 215 185986 215 186690 215 187394 215 188098 215 188802 215 189506 215 190210 215 190914 215 191618 215 192322 215 193026 215 193730 215 194434 215 195138 215 195842 215 196546 215 197250 215 197954 215 198658 215 199362 215 200066 215 200770 215 201474 215 202178 215 202882 215 203586 215 204290 215 204994 215 205698 215 206402 215 207106 215 207810 215 208514 215 209218 215 209922 215 
13923Date_06_08_2019.jpg_wood,1 1
13923Date_06_08_2019.jpg_other,1 1
1143Date_02_08_2019.jpg_armature,16897 339 17601 339 18305 339 19009 339 19713 339 20417 339 21121 339 21825 339 22529 339 23233 339 23937 339 24641 339 25345 339 26049 339 26753 339 27457 339 28161 339 28865 339 29569 339 30273 339 30977 339 31681 339 32385 339 33089 339 33793 339 34497 339 35201 339 35905 339 36609 339 37313 339 38017 339 38721 339 39425 339 40129 339 40833 339 41537 339 42241 339 42945 339 43649 339 44353 339 45057 339 45761 339 46465 339 47169 339 47873 339 48577 339 49281 339 49985 339 50689 339 51393 339 52097 339 52801 339 53505 339 54209 339 54913 339 55617 339 56321 339 57025 339 57729 339 58433 339 59137 339 59841 339 60545 339 61249 339 61953 339 62657 339 63361 339 64065 339 64769 339 65473 339 66177 339 66881 339 67585 339 68289 339 68993 339 69697 339 70401 339 71105 339 71809 339 72513 339 73217 339 73921 339 74625 339 75329 339 76033 339 76737 339 77441 339 78145 339 78849 339 79553 339 80257 339 80961 339 81665 339 82369 339 83073 339 83777 339 84481 339 85185 339 85889 339 86593 339 87297 339 88001 339 88705 339 89409 339 90113 339 90817 339 91521 339 92225 339 92929 339 93633 339 94337 339 95041 339 95745 339 96449 339 97153 339 97857 339 98561 339 99265 339 99969 339 100673 339 101377 339 102081 339 102785 339 103489 339 104193 339 104897 339 105601 339 106305 339 107009 339 107713 339 108417 339 109121 339 109825 339 110529 339 111233 339 111937 339 112641 339 113345 339 114049 339 114753 339 115457 339 116161 339 116865 339 117569 339 118273 339 118977 339 119681 339 120385 339 121089 339 121793 339 122497 339 123201 339 123905 339 124609 339 125313 339 126017 339 126721 339 127425 339 128129 339 128833 339 129537 339 130241 339 130945 339 131649 339 132353 339 133057 339 133761 339 134465 339 135169 339 135873 339 136577 339 137281 339 137985 339 138689 339 139393 339 140097 339 140801 339 141505 339 142209 339 142913 339 143617 339 144321 339 145025 339 145729 339 146433 339 147137 339 147841 339 148545 339 149249 339 149953 339 150657 339 151361 339 152065 339 152769 339 153473 339 154177 339 154881 339 155585 339 156289 339 156993 339 157697 339 158401 339 159105 339 159809 339 160513 339 161217 339 161921 339 162625 339 163329 339 164033 339 164737 339 165441 339 166145 339 166849 339 167553 339 168257 339 168961 339 169665 339 170369 339 
1143Date_02_08_2019.jpg_wood,1 1
1143Date_02_08_2019.jpg_other,1 1
0774Date_02_08_2019.jpg_armature,1 1
0774Date_02_08_2019.jpg_wood,124175 103 124879 103 125583 103 126287 103 126991 103 127695 103 128399 103 129103 103 129807 103 130511 103 131215 103 131919 103 132623 103 133327 103 134031 103 134735 103 135439 103 136143 103 136847 103 137551 103 138255 103 138959 103 139663 103 140367 103 141071 103 141775 103 142479 103 143183 103 143887 103 144591 103 145295 103 145999 103 146703 103 147407 103 148111 103 148815 103 149519 103 150223 103 150927 103 151631 103 152335 103 153039 103 153743 103 154447 103 155151 103 155855 103 156559 103 157263 103 157967 103 158671 103 159375 103 160079 103 160783 103 161487 103 162191 103 162895 103 163599 103 164303 103 165007 103 165711 103 166415 103 167119 103 167823 103 168527 103 169231 103 169935 103 170639 103 171343 103 172047 103 172751 103 173455 103 174159 103 174863 103 175567 103 176271 103 176975 103 177679 103 178383 103 179087 103 179791 103 180495 103 181199 103 181903 103 182607 103 183311 103 184015 103 184719 103 185423 103 186127 103 186831 103 187535 103 188239 103 188943 103 189647 103 190351 103 191055 103 191759 103 192463 103 193167 103 193871 103 194575 103 195279 103 195983 103 196687 103 197391 103 198095 103 198799 103 199503 103 200207 103 200911 103 201615 103 202319 103 203023 103 203727 103 204431 103 205135 103 205839 103 206543 103 207247 103 207951 103 208655 103 209359 103 210063 103 210767 103 211471 103 212175 103 212879 103 213583 103 214287 103 214991 103 215695 103 216399 103 217103 103 217807 103 218511 103 219215 103 219919 103 220623 103 221327 103 222031 103 222735 103 223439 103 224143 103 224847 103 225551 103 226255 103 226959 103 227663 103 228367 103 229071 103 229775 103 
0774Date_02_08_2019.jpg_other,1 1
33992Date_14_08_2019.jpg_armature,127205 150 127909 150 128613 150 129317 150 130021 150 130725 150 131429 150 132133 150 132837 150 133541 150 134245 150 134949 150 135653 150 136357 150 137061 150 137765 150 138469 150 139173 150 139877 150 140581 150 141285 150 141989 150 142693 150 143397 150 144101 150 144805 150 145509 150 146213 150 146917 150 147621 150 148325 150 149029 150 149733 150 150437 150 151141 150 151845 150 152549 150 153253 150 153957 150 154661 150 155365 150 156069 150 156773 150 157477 150 158181 150 158885 150 159589 150 160293 150 160997 150 161701 150 162405 150 163109 150 163813 150 164517 150 165221 150 165925 150 166629 150 167333 150 168037 150 168741 150 169445 150 170149 150 170853 150 171557 150 172261 150 172965 150 173669 150 174373 150 175077 150 175781 150 176485 150 177189 150 177893 150 178597 150 179301 150 180005 150 180709 150 181413 150 182117 150 182821 150 183525 150 184229 150 184933 150 185637 150 186341 150 187045 150 187749 150 188453 150 189157 150 189861 150 190565 150 191269 150 191973 150 192677 150 193381 150 194085 150 194789 150 195493 150 196197 150 196901 150 197605 150 198309 150 199013 150 199717 150 200421 150 201125 150 201829 150 202533 150 203237 150 203941 150 204645 150 205349 150 206053 150 206757 150 207461 150 208165 150 208869 150 209573 150 210277 150 210981 150 211685 150 212389 150 213093 150 213797 150 214501 150 215205 150 215909 150 216613 150 217317 150 218021 150 218725 150 219429 150 220133 150 220837 150 221541 150 222245 150 222949 150 223653 150 224357 150 225061 150 225765 150 226469 150 227173 150 227877 150 228581 150 229285 150 229989 150 230693 150 231397 150 232101 150 232805 150 233509 150 234213 150 234917 150 235621 150 236325 150 237029 150 237733 150 238437 150 239141 150 239845 150 240549 150 241253 150 241957 150 242661 150 243365 150 244069 150 244773 150 245477 150 246181 150 246885 150 247589 150 248293 150 248997 150 249701 150 250405 150 251109 150 251813 150 252517 150 253221 150 253925 150 254629 150 255333 150 256037 150 256741 150 257445 150 258149 150 258853 150 259557 150 260261 150 260965 150 261669 150 262373 150 263077 150 263781 150 264485 150 265189 150 265893 150 266597 150 267301 150 268005 150 268709 150 269413 150 270117 150 270821 150 271525 150 272229 150 272933 150 273637 150 274341 150 275045 150 
